Operation,Type,Entities Covered Count,Dependencies,Requires
"DescribeCapacityManagerDataExports","INDEPENDENT","9","None","None"
"DescribeFastSnapshotRestores","INDEPENDENT","7","None","None"
"DescribeSnapshotTierStatus","INDEPENDENT","5","None","None"
"DescribeIpamExternalResourceVerificationTokens","INDEPENDENT","6","None","None"
"DescribeNetworkInsightsAccessScopeAnalyses","INDEPENDENT","5","None","None"
"DescribeIpamScopes","INDEPENDENT","4","None","None"
"DescribeAvailabilityZones","INDEPENDENT","10","None","None"
"DescribeVerifiedAccessGroups","INDEPENDENT","3","None","None"
"DescribeCapacityBlocks","INDEPENDENT","3","None","None"
"DescribeLaunchTemplateVersions","INDEPENDENT","8","None","None"
"DescribeReservedInstancesModifications","INDEPENDENT","6","None","None"
"DescribeIpamPrefixListResolvers","INDEPENDENT","5","None","None"
"DescribeReservedInstancesListings","INDEPENDENT","4","None","None"
"DescribeIpamResourceDiscoveryAssociations","INDEPENDENT","5","None","None"
"DescribeIpamPrefixListResolverTargets","INDEPENDENT","7","None","None"
"DescribeInstanceStatus","INDEPENDENT","5","None","None"
"DescribeManagedPrefixLists","INDEPENDENT","6","None","None"
"DescribeInstanceImageMetadata","INDEPENDENT","3","None","None"
"DescribeReplaceRootVolumeTasks","INDEPENDENT","4","None","None"
"DescribeVolumeStatus","INDEPENDENT","4","None","None"
"DescribeExportImageTasks","INDEPENDENT","3","None","None"
"DescribeSecurityGroups","INDEPENDENT","4","None","None"
"DescribeLockedSnapshots","INDEPENDENT","7","None","None"
"DescribeTrafficMirrorSessions","INDEPENDENT","6","None","None"
"DescribeTransitGatewayRouteTableAnnouncements","INDEPENDENT","6","None","None"
"DescribeIpamResourceDiscoveries","INDEPENDENT","4","None","None"
"DescribeVpcBlockPublicAccessExclusions","INDEPENDENT","7","None","None"
"DescribeVpcEndpointConnectionNotifications","INDEPENDENT","6","None","None"
"DescribeLaunchTemplates","INDEPENDENT","3","None","None"
"DescribeDeclarativePoliciesReports","INDEPENDENT","5","None","None"
"DescribeHostReservationOfferings","INDEPENDENT","1","None","None"
"DescribeImageUsageReports","INDEPENDENT","3","None","None"
"DescribeInstanceTopology","INDEPENDENT","1","None","None"
"DescribeInstanceSqlHaHistoryStates","INDEPENDENT","4","None","None"
"DescribeMacModificationTasks","INDEPENDENT","4","None","None"
"GetAwsNetworkPerformanceData","INDEPENDENT","5","None","None"
"DescribeTransitGatewayVpcAttachments","INDEPENDENT","2","None","None"
"DescribePublicIpv4Pools","INDEPENDENT","5","None","None"
"DescribeLocalGatewayVirtualInterfaceGroups","INDEPENDENT","4","None","None"
"DescribeElasticGpus","INDEPENDENT","5","None","None"
"DescribeVerifiedAccessInstances","INDEPENDENT","2","None","None"
"DescribeIpamPolicies","INDEPENDENT","4","None","None"
"DescribeTransitGatewayRouteTables","INDEPENDENT","3","None","None"
"DescribeTransitGatewayMulticastDomains","INDEPENDENT","3","None","None"
"DescribeTrunkInterfaceAssociations","INDEPENDENT","5","None","None"
"DescribeTransitGateways","INDEPENDENT","2","None","None"
"DescribeBundleTasks","INDEPENDENT","4","None","None"
"DescribeStoreImageTasks","INDEPENDENT","7","None","None"
"DescribeRouteTables","INDEPENDENT","3","None","None"
"DescribeVpcEncryptionControls","INDEPENDENT","4","None","None"
"DescribeTrafficMirrorFilters","INDEPENDENT","4","None","None"
"DescribeTransitGatewayPeeringAttachments","INDEPENDENT","3","None","None"
"DescribeRouteServerEndpoints","INDEPENDENT","2","None","None"
"DescribeSpotFleetRequests","INDEPENDENT","4","None","None"
"DescribeCapacityBlockStatus","INDEPENDENT","6","None","None"
"DescribeVpcBlockPublicAccessOptions","INDEPENDENT","6","None","None"
"DescribeRouteServers","INDEPENDENT","5","None","None"
"DescribeKeyPairs","INDEPENDENT","6","None","None"
"DescribeSpotPriceHistory","INDEPENDENT","2","None","None"
"DescribeAwsNetworkPerformanceMetricSubscriptions","INDEPENDENT","1","None","None"
"DescribeExportTasks","INDEPENDENT","4","None","None"
"DescribeTransitGatewayMeteringPolicies","INDEPENDENT","4","None","None"
"DescribeOutpostLags","INDEPENDENT","2","None","None"
"DescribePlacementGroups","INDEPENDENT","4","None","None"
"DescribeFastLaunchImages","INDEPENDENT","4","None","None"
"DescribeTrafficMirrorTargets","INDEPENDENT","3","None","None"
"DescribeNetworkAcls","INDEPENDENT","2","None","None"
"DescribeTransitGatewayConnects","INDEPENDENT","2","None","None"
"GetAllowedImagesSettings","INDEPENDENT","6","None","None"
"DescribeCustomerGateways","INDEPENDENT","5","None","None"
"DescribeImageUsageReportEntries","INDEPENDENT","4","None","None"
"DescribeVpcPeeringConnections","INDEPENDENT","3","None","None"
"GetInstanceMetadataDefaults","INDEPENDENT","6","None","None"
"DescribeSecurityGroupVpcAssociations","INDEPENDENT","1","None","None"
"DescribeInstanceEventWindows","INDEPENDENT","4","None","None"
"DescribeAddressTransfers","INDEPENDENT","4","None","None"
"DescribeVpnGateways","INDEPENDENT","2","None","None"
"DescribeCoipPools","INDEPENDENT","3","None","None"
"DescribeNetworkInterfacePermissions","INDEPENDENT","3","None","None"
"DescribeLocalGatewayRouteTableVpcAssociations","INDEPENDENT","2","None","None"
"DescribeConversionTasks","INDEPENDENT","3","None","None"
"DescribeNetworkInsightsAccessScopes","INDEPENDENT","2","None","None"
"DescribeIpv6Pools","INDEPENDENT","2","None","None"
"DescribeTransitGatewayAttachments","INDEPENDENT","1","None","None"
"DescribeImportSnapshotTasks","INDEPENDENT","2","None","None"
"DescribeTransitGatewayPolicyTables","INDEPENDENT","2","None","None"
"GetVpnConnectionDeviceTypes","INDEPENDENT","4","None","None"
"DescribeInstances","INDEPENDENT","2","None","None"
"DescribeInternetGateways","INDEPENDENT","2","None","None"
"DescribeCarrierGateways","INDEPENDENT","2","None","None"
"DescribeAddressesAttribute","INDEPENDENT","2","None","None"
"DescribeLocalGateways","INDEPENDENT","1","None","None"
"DescribeIpamByoasn","INDEPENDENT","2","None","None"
"DescribeInstanceTypeOfferings","INDEPENDENT","3","None","None"
"DescribeTransitGatewayConnectPeers","INDEPENDENT","2","None","None"
"DescribeIamInstanceProfileAssociations","INDEPENDENT","1","None","None"
"DescribeVpnConcentrators","INDEPENDENT","1","None","None"
"DescribeLocalGatewayRouteTableVirtualInterfaceGroupAssociations","INDEPENDENT","2","None","None"
"DescribeDhcpOptions","INDEPENDENT","1","None","None"
"DescribeTags","INDEPENDENT","2","None","None"
"DescribeAggregateIdFormat","INDEPENDENT","4","None","None"
"DescribeSpotDatafeedSubscription","INDEPENDENT","2","None","None"
"DescribePrincipalIdFormat","INDEPENDENT","2","None","None"
"DescribePrefixLists","INDEPENDENT","1","None","None"
"DescribeVpcClassicLink","INDEPENDENT","1","None","None"
"DescribeMacHosts","INDEPENDENT","2","None","None"
"DescribeEgressOnlyInternetGateways","INDEPENDENT","1","None","None"
"DescribeRegions","INDEPENDENT","2","None","None"
"DescribeVpcClassicLinkDnsSupport","INDEPENDENT","1","None","None"
"GetEnabledIpamPolicy","INDEPENDENT","1","None","None"
"DescribeVerifiedAccessInstanceLoggingConfigurations","INDEPENDENT","1","None","None"
"DescribeInstanceCreditSpecifications","INDEPENDENT","1","None","None"
"DescribeInstanceEventNotificationAttributes","INDEPENDENT","3","None","None"
"GetImageBlockPublicAccessState","INDEPENDENT","1","None","None"
"GetEbsEncryptionByDefault","INDEPENDENT","1","None","None"
"DescribeMovingAddresses","INDEPENDENT","1","None","None"
"GetSerialConsoleAccessStatus","INDEPENDENT","1","None","None"
"DescribeVpcEndpointServices","INDEPENDENT","1","None","None"
"DescribeAccountAttributes","INDEPENDENT","2","None","None"
"GetCapacityManagerAttributes","INDEPENDENT","1","None","None"
"GetLaunchTemplateData","DEPENDENT","21","ec2.address_instance_id","ec2.address_instance_id"
"DescribeClientVpnConnections","DEPENDENT","12","ec2.client_vpn_endpoint_client_vpn_endpoint_id","ec2.client_vpn_endpoint_client_vpn_endpoint_id"
"GetCapacityManagerMetricDimensions","DEPENDENT","9","ec2.bundle_task_start_time; ec2.report_end_time","ec2.bundle_task_start_time; ec2.report_end_time"
"GetActiveVpnTunnelStatus","DEPENDENT","9","ec2.vpn_connection_vpn_connection_id","ec2.vpn_connection_vpn_connection_id"
"GetIpamResourceCidrs","DEPENDENT","7","ec2.ipam_scop_ipam_scope_id","ec2.ipam_scop_ipam_scope_id"
"DescribeImageAttribute","DEPENDENT","5","ec2.export_image_task_image_id","ec2.export_image_task_image_id"
"GetDeclarativePoliciesReportSummary","DEPENDENT","5","ec2.report_report_id","ec2.report_report_id"
"GetRouteServerRoutingDatabase","DEPENDENT","5","ec2.route_server_endpoint_route_server_id","ec2.route_server_endpoint_route_server_id"
"DescribeCapacityBlockOfferings","DEPENDENT","4","None","None"
"DescribeScheduledInstanceAvailability","DEPENDENT","4","ec2.scheduled_instance_set_recurrence","ec2.scheduled_instance_set_recurrence"
"GetIpamPrefixListResolverRules","DEPENDENT","4","ec2.ipam_prefix_list_resolver_target_ipam_prefix_list_resolver_id","ec2.ipam_prefix_list_resolver_target_ipam_prefix_list_resolver_id"
"GetIpamPoolCidrs","DEPENDENT","4","ec2.ipam_pool_ipam_pool_id","ec2.ipam_pool_ipam_pool_id"
"GetIpamAddressHistory","DEPENDENT","4","ec2.byoip_cidr_cidr; ec2.ipam_scop_ipam_scope_id","ec2.byoip_cidr_cidr; ec2.ipam_scop_ipam_scope_id"
"GetAssociatedEnclaveCertificateIamRoles","DEPENDENT","4","ec2.certificate_arn","ec2.certificate_arn"
"GetIpamDiscoveredResourceCidrs","DEPENDENT","3","ec2.ipam_resource_discovery_ipam_resource_discovery_id; ec2.metric_dimension_result_resource_region","ec2.ipam_resource_discovery_ipam_resource_discovery_id; ec2.metric_dimension_result_resource_region"
"DescribeClientVpnRoutes","DEPENDENT","3","ec2.client_vpn_endpoint_client_vpn_endpoint_id","ec2.client_vpn_endpoint_client_vpn_endpoint_id"
"DescribeCapacityReservationBillingRequests","DEPENDENT","3","None","None"
"DescribeStaleSecurityGroups","DEPENDENT","3","ec2.carrier_gateway_vpc_id","ec2.carrier_gateway_vpc_id"
"GetVpnTunnelReplacementStatus","DEPENDENT","3","ec2.vpn_connection_vpn_connection_id","ec2.vpn_connection_vpn_connection_id"
"DescribeVpcEndpointServicePermissions","DEPENDENT","3","ec2.connection_notification_set_service_id","ec2.connection_notification_set_service_id"
"GetTransitGatewayMeteringPolicyEntries","DEPENDENT","3","ec2.transit_gateway_metering_policy_transit_gateway_metering_policy_id","ec2.transit_gateway_metering_policy_transit_gateway_metering_policy_id"
"DescribeSnapshotAttribute","DEPENDENT","3","ec2.fast_snapshot_restor_snapshot_id","ec2.fast_snapshot_restor_snapshot_id"
"GetTransitGatewayPrefixListReferences","DEPENDENT","3","ec2.transit_gateway_route_table_announcement_transit_gateway_route_table_id","ec2.transit_gateway_route_table_announcement_transit_gateway_route_table_id"
"GetHostReservationPurchasePreview","DEPENDENT","2","ec2.host_reservation_set_host_id_set; ec2.offering_set_offering_id","ec2.host_reservation_set_host_id_set; ec2.offering_set_offering_id"
"DescribeClientVpnTargetNetworks","DEPENDENT","2","ec2.client_vpn_endpoint_client_vpn_endpoint_id","ec2.client_vpn_endpoint_client_vpn_endpoint_id"
"DescribeByoipCidrs","DEPENDENT","2","ec2.elastic_gpu_set","ec2.elastic_gpu_set"
"GetSecurityGroupsForVpc","DEPENDENT","2","ec2.carrier_gateway_vpc_id","ec2.carrier_gateway_vpc_id"
"DescribeFleetHistory","DEPENDENT","2","ec2.bundle_task_start_time; ec2.fleet_fleet_id","ec2.bundle_task_start_time; ec2.fleet_fleet_id"
"GetIpamPoolAllocations","DEPENDENT","2","ec2.ipam_pool_ipam_pool_id","ec2.ipam_pool_ipam_pool_id"
"GetCoipPoolUsage","DEPENDENT","2","ec2.coip_pool_pool_id","ec2.coip_pool_pool_id"
"DescribeSecurityGroupReferences","DEPENDENT","2","ec2.group_id","ec2.group_id"
"GetNetworkInsightsAccessScopeAnalysisFindings","DEPENDENT","2","ec2.network_insights_access_scope_analys_network_insights_access_scope_analysis_id","ec2.network_insights_access_scope_analys_network_insights_access_scope_analysis_id"
"GetVpcResourcesBlockingEncryptionEnforcement","DEPENDENT","2","ec2.carrier_gateway_vpc_id","ec2.carrier_gateway_vpc_id"
"GetSpotPlacementScores","DEPENDENT","2","None","None"
"GetCapacityManagerMetricData","DEPENDENT","2","ec2.bundle_task_start_time; ec2.report_end_time; ec2.subscription_period","ec2.bundle_task_start_time; ec2.report_end_time; ec2.subscription_period"
"GetVerifiedAccessEndpointTargets","DEPENDENT","2","ec2.verified_access_endpoint_verified_access_endpoint_id","ec2.verified_access_endpoint_verified_access_endpoint_id"
"GetTransitGatewayPolicyTableEntries","DEPENDENT","2","ec2.transit_gateway_policy_tabl_transit_gateway_policy_table_id","ec2.transit_gateway_policy_tabl_transit_gateway_policy_table_id"
"GetNetworkInsightsAccessScopeContent","DEPENDENT","2","ec2.network_insights_access_scope_analys_network_insights_access_scope_id","ec2.network_insights_access_scope_analys_network_insights_access_scope_id"
"GetAssociatedIpv6PoolCidrs","DEPENDENT","2","ec2.coip_pool_pool_id","ec2.coip_pool_pool_id"
"GetReservedInstancesExchangeQuote","DEPENDENT","2","None","None"
"GetCapacityReservationUsage","DEPENDENT","1","ec2.capacity_block_extension_capacity_reservation_id","ec2.capacity_block_extension_capacity_reservation_id"
"DescribeNetworkInterfaceAttribute","DEPENDENT","1","None","None"
"DescribeClientVpnAuthorizationRules","DEPENDENT","1","ec2.client_vpn_endpoint_client_vpn_endpoint_id","ec2.client_vpn_endpoint_client_vpn_endpoint_id"
"DescribeFleetInstances","DEPENDENT","1","ec2.fleet_fleet_id","ec2.fleet_fleet_id"
"GetSubnetCidrReservations","DEPENDENT","1","None","None"
"GetImageAncestry","DEPENDENT","1","ec2.export_image_task_image_id","ec2.export_image_task_image_id"
"DescribeFpgaImageAttribute","DEPENDENT","1","ec2.fpga_imag_fpga_image_id","ec2.fpga_imag_fpga_image_id"
"DescribeVolumeAttribute","DEPENDENT","1","ec2.snapshot_tier_status_volume_id","ec2.snapshot_tier_status_volume_id"
"GetIpamPolicyAllocationRules","DEPENDENT","1","ec2.ipam_policy_ipam_policy_id","ec2.ipam_policy_ipam_policy_id"
"GetGroupsForCapacityReservation","DEPENDENT","1","ec2.capacity_block_extension_capacity_reservation_id","ec2.capacity_block_extension_capacity_reservation_id"
"DescribeVpcAttribute","DEPENDENT","1","ec2.carrier_gateway_vpc_id","ec2.carrier_gateway_vpc_id"
"GetTransitGatewayMulticastDomainAssociations","DEPENDENT","1","ec2.transit_gateway_multicast_domain_transit_gateway_multicast_domain_id","ec2.transit_gateway_multicast_domain_transit_gateway_multicast_domain_id"
"GetIpamPolicyOrganizationTargets","DEPENDENT","1","ec2.ipam_policy_ipam_policy_id","ec2.ipam_policy_ipam_policy_id"
"GetConsoleScreenshot","DEPENDENT","1","ec2.address_instance_id","ec2.address_instance_id"
"GetFlowLogsIntegrationTemplate","DEPENDENT","1","ec2.flow_log_flow_log_id","ec2.flow_log_flow_log_id"
