csp,service,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,python_call,http_path,produced_fields,fields_types,fields_operators,resource_type,resource_id_field,resource_id_param,rule_count,check_rule_yaml,is_active,updated_at
oci,opsi,oci.opsi.list_awr_databases,read_list,Yes,oci.opsi.list_awr_databases,oci.opsi.list_awr_databases,1,0,oci.opsi.list_awr_databases[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_awr_databases(compartment_id=compartment_id).data,/20160918/awrDatabases,awr_databass.name|awr_databass.status|awr_databass.time_created|awr_databass.freeform_tags|awr_databass.defined_tags,awr_databass.name:string|awr_databass.status:string|awr_databass.time_created:string|awr_databass.freeform_tags:object|awr_databass.defined_tags:object,"awr_databass.name:contains, equals, in, not_equals|awr_databass.status:contains, equals, in, not_equals|awr_databass.time_created:contains, equals, exists, in, not_equals|awr_databass.freeform_tags:exists, not_empty|awr_databass.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_awr_hub_objects,read_list,Yes,oci.opsi.list_awr_hub_objects,oci.opsi.list_awr_hub_objects,1,0,oci.opsi.list_awr_hub_objects[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_awr_hub_objects(compartment_id=compartment_id).data,/20160918/awrHubObjects,awr_hub_object.name|awr_hub_object.status|awr_hub_object.time_created|awr_hub_object.freeform_tags|awr_hub_object.defined_tags,awr_hub_object.name:string|awr_hub_object.status:string|awr_hub_object.time_created:string|awr_hub_object.freeform_tags:object|awr_hub_object.defined_tags:object,"awr_hub_object.name:contains, equals, in, not_equals|awr_hub_object.status:contains, equals, in, not_equals|awr_hub_object.time_created:contains, equals, exists, in, not_equals|awr_hub_object.freeform_tags:exists, not_empty|awr_hub_object.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_awr_hub_sources,read_list,Yes,oci.opsi.list_awr_hub_sources,oci.opsi.list_awr_hub_sources,1,0,oci.opsi.list_awr_hub_sources[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_awr_hub_sources(compartment_id=compartment_id).data,/20160918/awrHubSources,awr_hub_sourc.name|awr_hub_sourc.status|awr_hub_sourc.time_created|awr_hub_sourc.freeform_tags|awr_hub_sourc.defined_tags,awr_hub_sourc.name:string|awr_hub_sourc.status:string|awr_hub_sourc.time_created:string|awr_hub_sourc.freeform_tags:object|awr_hub_sourc.defined_tags:object,"awr_hub_sourc.name:contains, equals, in, not_equals|awr_hub_sourc.status:contains, equals, in, not_equals|awr_hub_sourc.time_created:contains, equals, exists, in, not_equals|awr_hub_sourc.freeform_tags:exists, not_empty|awr_hub_sourc.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_awr_hubs,read_list,Yes,oci.opsi.list_awr_hubs,oci.opsi.list_awr_hubs,1,0,oci.opsi.list_awr_hubs[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_awr_hubs(compartment_id=compartment_id).data,/20160918/awrHubs,awr_hub.name|awr_hub.status|awr_hub.time_created|awr_hub.freeform_tags|awr_hub.defined_tags,awr_hub.name:string|awr_hub.status:string|awr_hub.time_created:string|awr_hub.freeform_tags:object|awr_hub.defined_tags:object,"awr_hub.name:contains, equals, in, not_equals|awr_hub.status:contains, equals, in, not_equals|awr_hub.time_created:contains, equals, exists, in, not_equals|awr_hub.freeform_tags:exists, not_empty|awr_hub.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_awr_snapshots,read_list,Yes,oci.opsi.list_awr_snapshots,oci.opsi.list_awr_snapshots,1,0,oci.opsi.list_awr_snapshots[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_awr_snapshots(compartment_id=compartment_id).data,/20160918/awrSnapshots,awr_snapshot.name|awr_snapshot.status|awr_snapshot.time_created|awr_snapshot.freeform_tags|awr_snapshot.defined_tags,awr_snapshot.name:string|awr_snapshot.status:string|awr_snapshot.time_created:string|awr_snapshot.freeform_tags:object|awr_snapshot.defined_tags:object,"awr_snapshot.name:contains, equals, in, not_equals|awr_snapshot.status:contains, equals, in, not_equals|awr_snapshot.time_created:contains, equals, exists, in, not_equals|awr_snapshot.freeform_tags:exists, not_empty|awr_snapshot.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_database_configurations,read_list,Yes,oci.opsi.list_database_configurations,oci.opsi.list_database_configurations,1,0,oci.opsi.list_database_configurations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_database_configurations(compartment_id=compartment_id).data,/20160918/databaseConfigurations,database_configuration.name|database_configuration.status|database_configuration.time_created|database_configuration.freeform_tags|database_configuration.defined_tags,database_configuration.name:string|database_configuration.status:string|database_configuration.time_created:string|database_configuration.freeform_tags:object|database_configuration.defined_tags:object,"database_configuration.name:contains, equals, in, not_equals|database_configuration.status:contains, equals, in, not_equals|database_configuration.time_created:contains, equals, exists, in, not_equals|database_configuration.freeform_tags:exists, not_empty|database_configuration.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_database_insights,read_list,Yes,oci.opsi.list_database_insights,oci.opsi.list_database_insights,1,0,oci.opsi.list_database_insights[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_database_insights(compartment_id=compartment_id).data,/20160918/databaseInsights,database_insight.name|database_insight.status|database_insight.time_created|database_insight.freeform_tags|database_insight.defined_tags,database_insight.name:string|database_insight.status:string|database_insight.time_created:string|database_insight.freeform_tags:object|database_insight.defined_tags:object,"database_insight.name:contains, equals, in, not_equals|database_insight.status:contains, equals, in, not_equals|database_insight.time_created:contains, equals, exists, in, not_equals|database_insight.freeform_tags:exists, not_empty|database_insight.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_enterprise_manager_bridges,read_list,Yes,oci.opsi.list_enterprise_manager_bridges,oci.opsi.list_enterprise_manager_bridges,1,0,oci.opsi.list_enterprise_manager_bridges[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_enterprise_manager_bridges(compartment_id=compartment_id).data,/20160918/enterpriseManagerBridges,enterprise_manager_bridg.name|enterprise_manager_bridg.status|enterprise_manager_bridg.time_created|enterprise_manager_bridg.freeform_tags|enterprise_manager_bridg.defined_tags,enterprise_manager_bridg.name:string|enterprise_manager_bridg.status:string|enterprise_manager_bridg.time_created:string|enterprise_manager_bridg.freeform_tags:string|enterprise_manager_bridg.defined_tags:string,"enterprise_manager_bridg.name:contains, equals, in, not_equals|enterprise_manager_bridg.status:contains, equals, in, not_equals|enterprise_manager_bridg.time_created:contains, equals, exists, in, not_equals|enterprise_manager_bridg.freeform_tags:exists, not_empty|enterprise_manager_bridg.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_exadata_configurations,read_list,Yes,oci.opsi.list_exadata_configurations,oci.opsi.list_exadata_configurations,1,0,oci.opsi.list_exadata_configurations[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_exadata_configurations(compartment_id=compartment_id).data,/20160918/exadataConfigurations,exadata_configuration.name|exadata_configuration.status|exadata_configuration.time_created|exadata_configuration.freeform_tags|exadata_configuration.defined_tags,exadata_configuration.name:string|exadata_configuration.status:string|exadata_configuration.time_created:string|exadata_configuration.freeform_tags:object|exadata_configuration.defined_tags:object,"exadata_configuration.name:contains, equals, in, not_equals|exadata_configuration.status:contains, equals, in, not_equals|exadata_configuration.time_created:contains, equals, exists, in, not_equals|exadata_configuration.freeform_tags:exists, not_empty|exadata_configuration.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
oci,opsi,oci.opsi.list_exadata_insights,read_list,Yes,oci.opsi.list_exadata_insights,oci.opsi.list_exadata_insights,1,0,oci.opsi.list_exadata_insights[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags],OpsiClient().list_exadata_insights(compartment_id=compartment_id).data,/20160918/exadataInsights,exadata_insight.name|exadata_insight.status|exadata_insight.time_created|exadata_insight.freeform_tags|exadata_insight.defined_tags,exadata_insight.name:string|exadata_insight.status:string|exadata_insight.time_created:string|exadata_insight.freeform_tags:object|exadata_insight.defined_tags:object,"exadata_insight.name:contains, equals, in, not_equals|exadata_insight.status:contains, equals, in, not_equals|exadata_insight.time_created:contains, equals, exists, in, not_equals|exadata_insight.freeform_tags:exists, not_empty|exadata_insight.defined_tags:exists, not_empty",,,,0,,true,2026-04-17T12:08:14Z
