Finding ID,Rule ID,Rule Version,Category,Title,Description,Severity,Confidence,Status,First Seen At,Last Seen At,Resource Type,Resource ID,Resource ARN,Region,Framework,Control ID
40f47f68-f657-5bd1-aab4-294f7ca37e05,aws.bedrock.model.kms_encryption_enabled,,,,,medium,high,open,2026-01-14T04:42:04.153550Z,2026-01-14T04:42:04.153550Z,bedrock,,aws.bedrock.model.kms_encryption_enabled#us-east-1#bedrock,us-east-1,,
1da26beb-ef1e-5196-b1f1-20306da4086f,aws.bedrock.resource.model_invocation_logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.153583Z,2026-01-14T04:42:04.153583Z,bedrock,,aws.bedrock.resource.model_invocation_logging_enabled#us-east-1#bedrock,us-east-1,,
cc0f9702-e778-5cd7-847e-ccb83ace4f4b,aws.bedrock.resource.model_invocation_logs_encryption_enabled,,,,,medium,high,open,2026-01-14T04:42:04.153616Z,2026-01-14T04:42:04.153616Z,bedrock,,aws.bedrock.resource.model_invocation_logs_encryption_enabled#us-east-1#bedrock,us-east-1,,
a8ac182e-2d81-5b5a-a6c4-c34dcef4589d,aws.budgets.budget.alert_destinations_configured,,,,,medium,high,open,2026-01-14T04:42:04.153650Z,2026-01-14T04:42:04.153650Z,budgets,,aws.budgets.budget.alert_destinations_configured#global#budgets,global,,
e6d94bfa-273e-5e7e-bc49-d61eeb6b443f,aws.budgets.budget.alert_thresholds_configured,,,,,medium,high,open,2026-01-14T04:42:04.153686Z,2026-01-14T04:42:04.153686Z,budgets,,aws.budgets.budget.alert_thresholds_configured#global#budgets,global,,
fd2bb391-02fc-5e36-9e72-2b1cd4f35803,aws.budgets.budget.budgets_s_defined_for_accounts_or_projects_configured,,,,,medium,high,open,2026-01-14T04:42:04.153727Z,2026-01-14T04:42:04.153727Z,budgets,,aws.budgets.budget.budgets_s_defined_for_accounts_or_projects_configured#global#budgets,global,,
35af73e3-c53e-525c-a0d7-98d574a3d78c,aws.budgets.budget.modify_permissions_restricted,,,,,medium,high,open,2026-01-14T04:42:04.153766Z,2026-01-14T04:42:04.153766Z,budgets,,aws.budgets.budget.modify_permissions_restricted#global#budgets,global,,
c90df280-4bdb-5181-a466-cfa46b6404d7,aws.bedrock.model.bedrock_artifact_encrypted_at_rest,,,,,medium,high,open,2026-01-14T04:42:04.153801Z,2026-01-14T04:42:04.153801Z,bedrock,,aws.bedrock.model.bedrock_artifact_encrypted_at_rest#eu-west-1#bedrock,eu-west-1,,
d4314947-5968-5811-b879-3bdb2b960d84,aws.bedrock.model.bedrock_image_scan_passed_configured,,,,,medium,high,open,2026-01-14T04:42:04.153899Z,2026-01-14T04:42:04.153899Z,bedrock,,aws.bedrock.model.bedrock_image_scan_passed_configured#eu-west-1#bedrock,eu-west-1,,
5d25ef8f-87bf-5da5-b8d1-a4e2516f165b,aws.bedrock.model.bedrock_kms_cmk_used_configured,,,,,medium,high,open,2026-01-14T04:42:04.153954Z,2026-01-14T04:42:04.153954Z,bedrock,,aws.bedrock.model.bedrock_kms_cmk_used_configured#eu-west-1#bedrock,eu-west-1,,
5b7d85c3-d952-515d-8d81-4cf224d73044,aws.bedrock.model.kms_encryption_enabled,,,,,medium,high,open,2026-01-14T04:42:04.153997Z,2026-01-14T04:42:04.153997Z,bedrock,,aws.bedrock.model.kms_encryption_enabled#eu-west-1#bedrock,eu-west-1,,
ba9c51c6-86c6-542f-a2d7-831bd9cb9d6e,aws.bedrock.resource.model_invocation_logging_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154037Z,2026-01-14T04:42:04.154037Z,bedrock,,aws.bedrock.resource.model_invocation_logging_enabled#eu-west-1#bedrock,eu-west-1,,
b415f95e-451d-5d2d-a40e-b65a3dc38fb6,aws.bedrock.resource.model_invocation_logs_encryption_enabled,,,,,medium,high,open,2026-01-14T04:42:04.154081Z,2026-01-14T04:42:04.154081Z,bedrock,,aws.bedrock.resource.model_invocation_logs_encryption_enabled#eu-west-1#bedrock,eu-west-1,,
44cbdcf6-81ba-50eb-9dd1-6e49e8be9972,aws.bedrock.model.bedrock_artifact_encrypted_at_rest,,,,,medium,high,open,2026-01-14T04:42:04.154118Z,2026-01-14T04:42:04.154118Z,bedrock,,aws.bedrock.model.bedrock_artifact_encrypted_at_rest#us-west-2#bedrock,us-west-2,,
91578dcf-817e-5f9a-ac0f-25e93872a6e6,aws.bedrock.model.bedrock_image_scan_passed_configured,,,,,medium,high,open,2026-01-14T04:42:04.154153Z,2026-01-14T04:42:04.154153Z,bedrock,,aws.bedrock.model.bedrock_image_scan_passed_configured#us-west-2#bedrock,us-west-2,,
3e4229b1-abd9-5f51-9739-b8eca67de712,aws.bedrock.model.bedrock_kms_cmk_used_configured,,,,,medium,high,open,2026-01-14T04:42:04.154212Z,2026-01-14T04:42:04.154212Z,bedrock,,aws.bedrock.model.bedrock_kms_cmk_used_configured#us-west-2#bedrock,us-west-2,,
